EMGValue   Timestamp   TrueFlexState
60   17989068   0
63   18008828   0
63   18028588   0
63   18048348   0
66   18068108   0
66   18087868   0
66   18107628   0
66   18127388   0
66   18147148   0
67   18166908   0
69   18186668   0
72   18206428   0
77   18226192   0
79   18245948   0
82   18265708   0
83   18285468   0
85   18305228   0
87   18324988   0
88   18344748   0
89   18364508   0
91   18384268   0
92   18404028   0
94   18423788   0
94   18443548   0
94   18463308   0
93   18483068   0
88   18502828   0
88   18522588   0
89   18542348   0
89   18562108   0
88   18581868   0
89   18601628   0
89   18621388   0
89   18641148   0
91   18660908   0
92   18680668   0
92   18700428   0
94   18720188   0
95   18739948   0
97   18759708   0
98   18779468   0
99   18799228   0
100   18820028   0
102   18840828   0
102   18861628   0
103   18882428   0
105   18903228   0
107   18924028   0
108   18944828   0
110   18965628   0
110   18986428   0
112   19007228   0
113   19028028   0
115   19048828   0
117   19069628   0
119   19090428   0
120   19111228   0
121   19132028   0
122   19152828   0
121   19173628   0
121   19194428   0
124   19215228   0
126   19236028   0
129   19256828   0
129   19277628   0
129   19298428   0
130   19319228   0
131   19340028   0
133   19360828   0
135   19381628   0
137   19402428   0
137   19423228   0
137   19444028   0
139   19464828   0
139   19485628   0
140   19506428   0
140   19527228   0
141   19548028   0
142   19568828   0
142   19589628   0
141   19610428   0
139   19631228   0
135   19652028   0
135   19672828   0
135   19693628   0
135   19714428   0
134   19735228   0
133   19756028   0
133   19776828   0
132   19797628   0
133   19818428   0
135   19839228   0
135   19860028   0
135   19880828   0
135   19901628   0
135   19922428   0
137   19943228   0
139   19964028   0
140   19984828   0
140   20005628   0
141   20026428   0
142   20047228   0
143   20068028   0
147   20088828   0
151   20109628   0
150   20130428   0
152   20151228   0
152   20172028   0
153   20192828   0
153   20213628   0
155   20234428   0
156   20255228   0
156   20276028   0
158   20296828   0
158   20317628   1
158   20338428   1
157   20359228   1
158   20380028   1
157   20400828   1
157   20421628   1
157   20442428   1
156   20463228   1
156   20484028   1
155   20504828   1
153   20525628   1
154   20546428   1
153   20567228   1
153   20588028   1
154   20608828   1
153   20629628   1
155   20650428   1
156   20671228   1
156   20692028   1
154   20712828   1
151   20733628   1
157   20754428   1
158   20775228   1
162   20796028   1
165   20816828   1
167   20837628   1
169   20858428   1
171   20879228   1
172   20900028   1
173   20920828   1
174   20941628   1
175   20962428   1
176   20983228   1
176   21004028   1
176   21024828   1
176   21045628   1
176   21066428   1
176   21087228   1
176   21108028   1
176   21128828   1
175   21149628   1
176   21170428   1
175   21191228   1
176   21212028   1
176   21232828   1
176   21253628   1
177   21274428   1
177   21295228   1
179   21316028   1
182   21336828   1
183   21357628   1
184   21378428   1
184   21399228   1
184   21420028   1
183   21440828   1
182   21461628   1
180   21482428   1
179   21503228   1
179   21524028   1
178   21544828   1
179   21565628   1
178   21586428   1
177   21607228   1
177   21628028   1
178   21648828   1
178   21669628   1
177   21690428   1
176   21711228   1
177   21732028   1
176   21752828   1
175   21773628   1
175   21794428   1
172   21815228   1
171   21836028   1
169   21856828   1
167   21877628   1
167   21898428   1
166   21919228   1
164   21940028   1
164   21960828   1
163   21981628   1
163   22002428   1
163   22023228   1
161   22044028   1
161   22064828   1
159   22085628   1
159   22106428   1
158   22127228   1
156   22148028   1
155   22168828   1
153   22189628   1
152   22210428   1
151   22231228   1
148   22252028   1
145   22272828   1
143   22293628   1
142   22314428   1
142   22335228   1
140   22356028   1
139   22376828   1
137   22397628   1
135   22418428   1
134   22439228   1
133   22460028   1
131   22480828   1
131   22501628   1
129   22522428   1
128   22543228   1
127   22564028   1
126   22584828   1
127   22605628   1
126   22626428   1
126   22647228   1
126   22668028   1
125   22688828   1
125   22709628   1
125   22730428   1
124   22751228   1
124   22772028   1
123   22792828   1
123   22813628   1
123   22834428   1
121   22855228   1
121   22876028   1
120   22896828   1
120   22917628   1
119   22938428   1
119   22959228   1
118   22980028   1
116   23000828   1
116   23021628   1
115   23042428   1
113   23063228   1
112   23084028   1
110   23104828   1
108   23125628   1
105   23146428   1
104   23167228   1
103   23188028   1
100   23208828   1
99   23228588   1
97   23248348   1
97   23268108   1
96   23287868   1
96   23307628   1
96   23327388   1
96   23347148   1
96   23366908   1
96   23386668   1
96   23406428   1
95   23426188   1
96   23445948   1
96   23465708   1
95   23485468   1
95   23505228   1
94   23524988   1
93   23544748   1
93   23564508   1
92   23584268   1
92   23604028   1
91   23623788   1
89   23643548   1
89   23663308   1
88   23683068   1
87   23702828   1
86   23722588   1
83   23742348   1
83   23762108   1
81   23781868   1
81   23801628   1
80   23821388   1
79   23841148   1
78   23860908   1
